ID,Fecha,tipo,categoria,valor,notas
22085a08,2/06/2026,GASTO,Comida,16000,Arepas rellenas
e1d8d20b,2/06/2026,INGRESO,Tatuaje,156000,Cruz nuca rayan
c38ffb5e,2/06/2026,INGRESO,Tatuaje,70000,Cuello palabra ambición
8f3f81ce,2/06/2026,GASTO,Comida,3500,Parba
f533b1dc,3/06/2026,INGRESO,Tatuaje,86000,Corazones nombre
81143aee,3/06/2026,GASTO,Comida,34000,Pollo y huevos
5c4630a5,3/06/2026,INGRESO,Tatuaje,186000,Nikol escorpión
1a48bbf9,3/06/2026,INGRESO,Tatuaje,200000,Prima harold
acbd6fbc,3/06/2026,GASTO,Comida,42000,Parba y chuzo
1bd9bfd7,4/06/2026,GASTO,Casa,240246,Pago Tigo 2 meses
15fd5223,3/06/2026,GASTO,Moto,38000,Gasolina
3952f8ec,4/06/2026,GASTO,Moto,1200,Parqueadero
415dd148,4/06/2026,INGRESO,Tatuaje,125000,Cuello marlon
6797303a,4/06/2026,INGRESO,Tatuaje,70000,Carolina pequeños
b02a51b4,4/06/2026,GASTO,Comida,41500,Chuzos
19173ce7,5/06/2026,GASTO,Comoda,32500,Desayuno Parba
2ae9bdcd,5/06/2026,INGRESO,Tatuaje,126000,Cuello camilo y madre
b81042cb,5/06/2026,INGRESO,Piercing,25000,Nostril
31b843fe,5/06/2026,GASTO,Comida,9500,Parba y leche
c55243a2,6/06/2026,GASTO,Comida,21900,"Desayuno, almuerzo, parba"
cf7b2463,6/06/2026,INGRESO,Tatuaje,80000,Carlos cuello
81eb43d0,6/06/2026,INGRESO,Tatuaje,180000,Brazalete manu rojo
0f4ed170,6/06/2026,INGRESO,Piercing,5000,Joya
f18b35f4,6/06/2026,INGRESO,Tatuaje,150000,Mariana Escobar pareja
b9517f8e,6/06/2026,INGRESO,Tatuaje,50000,Sofía codo
b6da15a8,6/06/2026,INGRESO,Tatuaje,96000,Sebas novia corazon
4c0f6b37,6/06/2026,GASTO,Comida,20000,Pizetta
845cf713,7/06/2026,INGRESO,Tatuaje,406000,Julian romano tatuaje
da1f32b3,7/06/2026,GASTO,Comida,32000,Almuerzos
00aaf019,7/06/2026,INGRESO,Tatuaje,450000,Cobertura antebrazo
d1261890,7/06/2026,GASTO,Comida,4200,Alfajor
87f41b2b,8/06/2026,INGRESO,Tatuaje,180000,Cano nombres
370f01fc,8/06/2026,INGRESO,Tatuaje,60000,Sánchez cuello
6a2f49d3,8/06/2026,GASTO,Comida,7000,Dulces
85e24b76,8/06/2026,INGRESO,Piercing,80000,Ombligo
eff0160a,8/06/2026,INGRESO,Tatuaje,200000,Santiago ángel
cfc7f9aa,8/06/2026,GASTO,Comida,66000,Mcdonalds
8b51d2b8,9/06/2026,GASTO,Comida,26800,Almuerzo dulces
8e1a1f85,9/06/2026,GASTO,Comida,18500,Dulces
f954583f,9/06/2026,INGRESO,Tatuaje,126000,Frase espalda
3488d59c,9/06/2026,INGRESO,Piercing,25000,Migraña
03ab64d0,9/06/2026,INGRESO,Tatuaje,76000,Nicol frase
c1b4bbad,9/06/2026,INGRESO,Tatuaje,140000,Flores abdomen
d607231d,10/06/2026,GASTO,Comida,11000,Desayuno
a0fb2d7b,10/06/2026,GASTO,Comida,33200,Almuerzo y parba
435f7e5e,11/06/2026,INGRESO,Tatuaje,600000,Esteban hombro
cef8de33,11/06/2026,INGRESO,Tatuaje,100000,Jacob letras
e5bb49e0,13/06/2026,INGRESO,Tatuaje,252000,Laura reina y familia
0b0fdd69,14/06/2026,INGRESO,Tatuaje,206000,Restrepo angel
aa639f7a,14/06/2026,INGRESO,Tatuaje,500000,Brian anubis
eb384408,14/06/2026,GASTO,Comida,100000,Parba
7d095819,15/06/2026,INGRESO,Tatuaje,350000,Jean reyes espada
bdb0c87a,15/06/2026,INGRESO,Tatuaje,350000,Lili espalda
f9eef113,15/06/2026,INGRESO,Tatuaje,270000,Edisson tatuaje mano
e5accdfe,16/06/2026,INGRESO,Tatuaje,420000,Daniel Muñoz
9b8102a5,16/06/2026,GASTO,Comida,100000,"Parba, pollo, verduras"
2107b3f3,17/06/2026,GASTO,Negocio,370000,Cartuchos y cremas
ca3e504f,17/06/2026,GASTO,Moto,1500,Parqueadero
c9270dc3,17/06/2026,INGRESO,Piercing,90000,Lengua
e4a6397c,17/06/2026,INGRESO,Tatuaje,150000,Rostro
af21074d,17/06/2026,INGRESO,Tatuaje,126000,Claudia
0dd18c37,18/06/2026,INGRESO,Tatuaje,400000,Aguirre coliseo antebrazo
a9fb9e6b,19/06/2026,INGRESO,Tatuaje,470000,Antebrazo dragón ball
075c6db2,19/06/2026,INGRESO,Piercing,27000,Nariz
92543f8d,19/06/2026,GASTO,Comida,13000,Almuerzo
6fcd6858,19/06/2026,GASTO,Casa,43000,Aseo
dc04cf1a,19/06/2026,INGRESO,Tatuaje,70000,Marlon cuello
7ffb2ad4,19/06/2026,INGRESO,Piercing,25000,Tragus
f6b139f0,19/06/2026,INGRESO,Piercing,50000,Nariz sara
95ccff5f,19/06/2026,INGRESO,Piercing,25000,Nariz
5fb47fd6,19/06/2026,INGRESO,Tatuaje,120000,David cuello
7b667801,19/06/2026,INGRESO,Tatuaje,180000,Alas hijo Alejandro
69d51c56,19/06/2026,GASTO,Comida,15000,Arepa rellena gaseosa
8fa919f0,20/06/2026,GASTO,Comida,80000,Frisby abuela
fee98ce1,20/06/2026,INGRESO,Piercing,130000,Orejas labio y ceja
4c4b219d,20/06/2026,GASTO,Comida,22500,Empanadas alpin
3b1848d6,21/06/2026,INGRESO,Tatuaje,900000,Brazo sebas droguería
0a118e3d,21/06/2026,GASTO,Comida,10000,Dulces clientes
1540673b,22/06/2026,INGRESO,Tatuaje,80000,Kevin Arroyave
2f05eb18,22/06/2026,INGRESO,Tatuaje,70000,Edwin
61ccda95,22/06/2026,INGRESO,Tatuaje,140000,Sofía y hermano
4c95ca71,22/06/2026,INGRESO,Tatuaje,100000,Jennifer pinilla
287121f3,22/06/2026,GASTO,Comida,90000,"Amor, Parba"
830d855d,22/06/2026,GASTO,Moto,70000,Transporte
75cffb7a,23/06/2026,INGRESO,Tatuaje,80000,Laura castaño espalda
372d716b,23/06/2026,INGRESO,Tatuaje,136000,Alexander dragón
f4b3e8c3,23/06/2026,GASTO,Comida,61000,Desayuno Parba carne
1f9d91ba,23/06/2026,GASTO,Casa,82900,Sartén cocina
d02a95a7,24/06/2026,INGRESO,Tatuaje,150000,Mano Diana Ospina
0c6d64f0,24/06/2026,INGRESO,Tatuaje,200000,Heli
82d84d09,24/06/2026,GASTO,Comida,20000,Parba y huevos
bca283e2,24/06/2026,GASTO,Moto,48000,Pinchada y aceite
6bf11f9f,24/06/2026,GASTO,Personal,225000,Medicina desparasitarte vitaminas
833bf95f,24/06/2026,INGRESO,Tatuaje,240000,Zelda
a00ec03d,24/06/2026,INGRESO,Piercing,45000,Nariz y orejas
4e91a8ac,25/06/2026,GASTO,Moto,51000,"Lavado, luz, soldadura"
e41b8b85,25/06/2026,GASTO,Personal,90000,Gym
b5af5726,25/06/2026,GASTO,Comida,25700,Pollo y mano
b1423774,25/06/2026,GASTO,Personal,70000,Audifonos
43431249,26/06/2026,GASTO,Comida,15000,Almuerzo y comida
d4ba2c32,26/06/2026,INGRESO,Tatuaje,106000,Sol y luna
9612d1a2,27/06/2026,INGRESO,Tatuaje,400000,Jhoan antebrazo León
4ada6de3,27/06/2026,GASTO,Comida,48000,Pandebonos pechuga
5d52e9c5,27/06/2026,GASTO,Moto,47000,Cambio neumático
1239a8d4,27/06/2026,GASTO,Amor,20000,Flotador
ce1df130,28/06/2026,GASTO,Comida,37000,Dulces hamburguesa
7feecd06,28/06/2026,INGRESO,Tatuaje,500000,Kelly brazo
5d2cc494,29/06/2026,INGRESO,Tatuaje,70000,Camila sarria
214a9329,29/06/2026,INGRESO,Tatuaje,400000,Antebrazo mago
1044e4cb,29/06/2026,GASTO,Comida,50000,Pizza y demás
ab526569,30/06/2026,INGRESO,Tatuaje,60000,Frase india
c5b58507,30/06/2026,GASTO,Comida,27000,Pollo maní
b6246d12,30/06/2026,INGRESO,Piercing,120000,Microdermal y orejas
2d765429,30/06/2026,INGRESO,Tatuajes,226000,"Angel, fecha y frase"
e1ee71cb,1/07/2026,GASTO,Comida,14400,Salchichas y galletas
7db91ff3,1/07/2026,GASTO,Casa,946800,Arrendo
65fd588d,1/07/2026,INGRESO,Tatuaje,400000,Antebrazo León
ed2bbc16,1/07/2026,GASTO,Comida,14000,Jugo mango panes
8c805b34,1/07/2026,GASTO,Negocio,14000,Vinipel
dcfb1545,2/07/2026,INGRESO,Tatuaje,480000,Jordan ante brazo
82998be5,2/07/2026,GASTO,Gym,370000,Proteina
6065abf5,2/07/2026,GASTO,Comida,49000,Pechuga queso aguacate
3b0e4ca5,2/07/2026,INGRESO,Tatuaje,580000,Juan C y amigos
416bd0d5,2/07/2026,GASTO,Negocio,21900,YouTube premium
5f89e499,3/07/2026,INGRESO,Tatuaje,126000,Kevin cuello
5a3dee8c,3/07/2026,GASTO,Negocio,210000,Cartuchos
eaa5a27a,3/07/2026,GASTO,Moto,1500,Parqueadero
56d15b2d,4/07/2026,INGRESO,Tatuaje,410000,Ch nigga
1ddebb20,4/07/2026,GASTO,Comida,52509,Parba carne aguacate
c0755e21,5/07/2026,GASTO,Comida,16600,Desayuno huevos
d01dd2aa,5/07/2026,GASTO,Comida,49200,"Pandebono, almuerzo, hamburguesa"
a732c355,5/07/2026,INGRESO,Tatuajes,875000,"Diana, Tomás, leo"
fe54fb61,5/07/2026,INGRESO,Piercing,20000,Orejas
b2233e80,6/07/2026,INGRESO,Piercing,25000,Nariz Sánchez
b0630f7e,5/07/2026,GASTO,Amor,94600,Pastas
acea5ce6,6/07/2026,GASTO,Casa,176000,Luz y agua
acdec7b4,6/07/2026,GASTO,Moto,36000,Gasolina
b3bedbb4,6/07/2026,GASTO,Moto,1000,Parqueadero
d417b932,6/07/2026,GASTO,Negocio,40000,Stencil protón
55de5119,6/07/2026,INGRESO,Tatuaje,50000,Ximena
6b1bb3ae,6/07/2026,GASTO,Comida,18000,Porron agua
f7ea78de,7/07/2026,INGRESO,Piercing,100000,Microdermal
b61693cd,7/07/2026,INGRESO,Tatuaje,60000,Ximena hermano
fc056969,7/07/2026,INGRESO,Tatuaje,175000,Dervis
5abe66bc,7/07/2026,GASTO,Comida,43000,Arepa rellena hamburguesa
6259de83,6/07/2026,GASTO,Comida,31000,Pechuga y res
4c909a4f,8/07/2026,GASTO,Comida,2100,Tomate plátano
7a9bde7a,7/07/2026,GASTO,Amor,84000,Pasajes
8d6e1e6a,8/07/2026,INGRESO,Tatuaje,200000,Refrihogar
dfd4b224,9/07/2026,INGRESO,Tatuaje,200000,Lui mariposa flores
daa04e16,9/07/2026,GASTO,Comida,4700,Alfajor yogurt
3d3e8360,10/07/2026,GASTO,Casa,13440,Jabón líquido y lava loza
e21add82,10/07/2026,GASTO,Comida,77900,Pollo Frisby
1fdc77b7,10/07/2026,INGRESO,Tatuaje,630000,Noche cH
a42ce7af,10/07/2026,GASTO,Negocio,47000,Toallas papel y pañal perro
02a7714b,11/07/2026,INGRESO,Tatuaje,150000,Pablo loaiza
f2f9437c,11/07/2026,INGRESO,Tatuaje,60000,Mauricio
273cba64,14/07/2026,GASTO,Comida,24700,Pechuga tomate
11d220e2,11/07/2026,GASTO,Comida,15000,Parba
a0f7cd5e,12/07/2026,GASTO,Comida,11000,Desayuno
ef3c023b,12/07/2026,INGRESO,Tatuaje,950000,Jhon Buda brazo
719ff748,13/07/2026,GASTO,Casa,31700,Remedio nariz
65cdd9a1,14/07/2026,GASTO,Comida,7500,Dulces
8e7788d6,14/07/2026,INGRESO,Tatuaje,500000,Cuello tatuaje
8674eb31,14/07/2026,GASTO,Comida,10500,Pollo
b478b2a2,14/07/2026,GASTO,Comida,9500,Parba
f2ad7e3a,14/07/2026,INGRESO,Tatuaje,250000,Brazo
462b8aaa,14/07/2026,GASTO,Comida,12500,Arepa rellena cocacola
0c67d2de,15/07/2026,GASTO,Comida,17800,Parba desayuno
1faad421,15/07/2026,INGRESO,Tatuaje,50000,Mano
6baa6558,15/07/2026,GASTO,Negocio,250000,Capcut el año
3ccac73a,15/07/2026,INGRESO,Tatuaje,130000,Pequeños
5f9912cf,15/07/2026,INGRESO,Tatuaje,90000,Sofía nombres
5436dfcb,15/07/2026,INGRESO,Tatuaje,200000,Melina
32861f2f,15/07/2026,GASTO,Comida,14000,Aguacate plátano
2c04cea2,16/07/2026,INGRESO,Tatuaje,200000,Carlos manuel
7cf8c785,17/07/2026,INGRESO,Tatuaje,178000,Paola amigas
83e7735c,17/07/2026,INGRESO,Tatuaje,400000,María osorio
c9ae6fc3,18/07/2026,INGRESO,Tatuaje,60000,Sthepanya
d0e44487,18/07/2026,INGRESO,Tatuaje,400000,Alejandro
ac46b6f1,19/07/2026,INGRESO,Tatuaje,150000,Julian
336001eb,19/07/2026,INGRESO,Tatuaje,500000,Brazo hombro
d803bb47,19/07/2026,GASTO,Comida,100000,Lasaña pollo pechuga
e31f0e63,20/07/2026,INGRESO,Tatuaje,70000,Emmanuel cuello
e82705a8,20/07/2026,GASTO,Comida,120000,Amor
50518826,21/07/2026,INGRESO,Tatuajes,945000,Matey Edilia y piercings
04be02e7,21/07/2026,GASTO,Comida,13500,Comida en la noche
7114bd4c,22/07/2026,GASTO,Comida,31000,Desayuno y comida
b93ca2ac,22/07/2026,INGRESO,Tatuaje,600000,"Lobo, brazo, pareja"
bf2ba151,22/07/2026,GASTO,Moto,1500,Parquadero
69584610,22/07/2026,GASTO,Negocio,75000,Cartuchos
f74dbe09,22/07/2026,GASTO,Negocio,35000,Cable de celular
a1df4178,24/07/2026,GASTO,Casa,120300,Internet
a0d8ba51,23/07/2026,INGRESO,Tatuajes,336000,Sary y peludo
bec9bacb,24/07/2026,GASTO,Amor,80000,Piercing ombligo
69ce38d2,23/07/2026,GASTO,Comida,148000,Transporte y almuerzo
939143b3,23/07/2026,GASTO,Negocio,12000,Block y mecato
784349a8,24/07/2026,GASTO,Negocio,75000,Cartuchos
7ea686ae,24/07/2026,GASTO,Moto,1500,Parqueadero
45d0eeff,24/07/2026,GASTO,Comida,8200,Desayuno
94e54e05,24/07/2026,GASTO,Negocio,18000,Joya microlabret nariz
c7ac8619,24/07/2026,INGRESO,Tatuaje,500000,Lili antebrazos
65ffb1e8,24/07/2026,INGRESO,Tatuaje,170000,Wen mascota
e23935db,24/07/2026,GASTO,Comida,27000,Hamburguesa
f37a843c,25/07/2026,INGRESO,Tatuaje,206000,Sombras de brazo
ff495911,25/07/2026,INGRESO,Tatuaje,120000,Refrihogar
60f2d1df,26/07/2026,INGRESO,Tatuaje,850000,Brazo completo
dbcda536,26/07/2026,GASTO,Comida,169000,Almuerzo y Parba
3576d407,26/07/2026,GASTO,Moto,70000,Uber
330e6b4e,27/07/2026,INGRESO,Tatuaje,230000,Nicol
54ff04bc,27/07/2026,GASTO,Comida,60000,Carne pollo
f69c2834,27/07/2026,GASTO,Negocio,29000,Cuchillas afeitar
5ced4fc8,27/07/2026,GASTO,Casa,20000,Papel jabón
3b65cd34,28/07/2026,INGRESO,Tatuaje,150000,Wen
1e6ca4dd,29/07/2026,INGRESO,Piercing,125000,Piercings migraña
e4212475,29/07/2026,INGRESO,Negocio,6000,Cartucho
3411435a,29/07/2026,GASTO,Comida,40000,Dulces mecato
ee802354,30/07/2026,GASTO,Casa,103300,Servicio luz
8f35f509,30/07/2026,GASTO,Comida,25700,Verduras dulces
71cef311,31/07/2026,INGRESO,Tatuajes,916000,"Z, Stiven, Kathy"
d6689de6,31/07/2026,GASTO,Comida,56000,Hamburguesa almuerzo
a211c3a6,1/08/2026,GASTO,Moto,7000,Transporte Uber
b95c728a,1/08/2026,GASTO,Comida,14000,Desayuno
e78c6492,1/08/2026,GASTO,Negocio,215000,Cartuchos
d784b9fe,1/08/2026,GASTO,Comida,19000,Panadería y tienda
a7d2fb67,2/08/2026,GASTO,Casa,29200,Medicasp
7c0bf263,1/08/2026,INGRESO,Tatuaje,600000,Brazo tigre mujer
02ffc3c3,1/08/2026,INGRESO,Piercing,60000,De todo el día
2450e93f,1/08/2026,GASTO,Moto,723300,Mantenimiento general
2334b344,2/08/2026,INGRESO,Tatuaje,260000,Castro cuello
12d8bea3,2/08/2026,GASTO,Comida,74000,Almuerzo amor
59b92672,2/08/2026,GASTO,Moto,32020,Gasolina
a84f72a2,3/08/2026,INGRESO,Tatuaje,50000,Inicial B
f204266f,3/08/2026,GASTO,Casa,946800,Arrendo
5f7795e3,3/08/2026,GASTO,Negocio,24200,Youtubepremium y shopify
ceb566c5,3/08/2026,GASTO,Comida,23000,Maní snacks
bce10830,4/08/2026,GASTO,Comida,30000,Pollo verduras
0f9705da,5/08/2026,INGRESO,Tatuaje,531000,Cuello José Miguel tata y Natalia
9e892d56,5/08/2026,GASTO,Comida,34000,Amor pollo
15bb861b,5/08/2026,INGRESO,Piercing,45000,Nariz y lobulos
05491ccb,5/08/2026,INGRESO,Piercing,100000,Microdermal
a8f011a6,6/08/2026,INGRESO,Tatuaje,140000,Sebas novia tatuaje
6196c76d,6/08/2026,GASTO,Comida,24000,Pollo y tienda
e299763d,6/08/2026,GASTO,Casa,66400,Servicio agua
da4d80a5,6/08/2026,INGRESO,Tatuaje,250000,Jhoan y la inicial
8a0ad207,6/08/2026,INGRESO,Tatuaje,130000,Gonzales
2276683f,6/08/2026,GASTO,Comida,14200,Tienda comida Parba
7eb67793,6/08/2026,INGRESO,Tatuaje,80000,Golondrina cuello
e51112e4,7/08/2026,GASTO,Comida,13000,Desayuno y almuerzo
bc611fd9,7/08/2026,INGRESO,Tatuaje,180000,Espalda
2463222a,7/08/2026,INGRESO,Tatuaje,500000,Hombro
1695c920,7/08/2026,GASTO,Comida,27000,Hamburguesa
8116d15c,8/08/2026,GASTO,Comida,56200,Almuerzo y desayuno
66011f77,8/08/2026,INGRESO,Piercing,25000,Nariz
9b00d306,8/08/2026,INGRESO,Piercings,40000,Orejas
77211da0,8/08/2026,GASTO,Negocio,382000,Computador mantenimiento
98153402,8/08/2026,GASTO,Comida,137000,Bebidas y comida
37c6ea9b,9/08/2026,INGRESO,Tatuaje,500000,Hombro
3badbb7b,11/08/2026,GASTO,Comida,75500,Comida y ayuda guantes
e5f053ae,11/08/2026,GASTO,Moto,29500,Gasolina
5207bbcb,14/08/2026,GASTO,Comida,90400,"Comida, carne, verduras"
5d9a7cf0,14/08/2026,INGRESO,Tatuajes,340000,Tatuajes del 13 y 12 agosto
04af4da9,14/08/2026,GASTO,Negocio,85000,Cartuchos
8d635098,14/08/2026,GASTO,Comida,5600,Tomates dulces
89e8ba43,15/08/2026,GASTO,Comida,19200,Desayuno pan
13c951c5,15/08/2026,INGRESO,Tatuajes,746000,"Espalda, antebrazo Angel , inicial"
0ca32e53,15/08/2026,GASTO,Negocio,24000,Pintura puerta
375b4c10,16/08/2026,INGRESO,Tatuaje,150000,Bryan
99ca0217,16/08/2026,GASTO,Comida,51500,Pan pollo
9905aceb,16/08/2026,GASTO,Negocio,32000,Joyas
d200dbfc,16/08/2026,GASTO,Negocio,76000,Cartuchos
29864310,16/08/2026,GASTO,Comida,9000,Panes abuelo
675595a8,16/08/2026,INGRESO,Tatuajes,296000,Cuello y hermanos
8ce32f59,16/08/2026,GASTO,Comida,7600,Tienda yogurt
5e9ba47b,17/08/2026,INGRESO,Tatuaje,400000,Quintero antebrazo
303562a1,17/08/2026,GASTO,Comida,22000,Huevos arepa
48030d0c,17/08/2026,INGRESO,Tatuaje,300000,Maldonado
25368314,17/08/2026,GASTO,Comida,13500,Panes
1079464e,18/08/2026,INGRESO,Tatuajes,150000,Valentina
d29e3401,18/08/2026,GASTO,Comida,21000,Pechuga
beccb4b1,18/08/2026,GASTO,Comida,5900,Pan
0013ae33,18/08/2026,GASTO,Comida,5700,Verduras
55f988ab,18/08/2026,GASTO,Comida,14100,Arepa rellena y papas
db51a821,18/08/2026,INGRESO,Tatuaje,500000,David hombro
c29a8eb4,19/08/2026,GASTO,Comida,38500,Pollo amor
97c3ed03,20/08/2026,INGRESO,Tatuaje,270000,Cubo hielo y Fenix
b96333b8,21/08/2026,GASTO,Comida,20300,Maní pan agua
9a2d1ef3,21/08/2026,INGRESO,Tatuaje,250000,Refrihogar y Samuel
1aafcf14,21/08/2026,GASTO,Comida,8500,Pan desayuno
9afa30e0,21/08/2026,GASTO,Comida,17000,Pan y jugo
41a12547,21/08/2026,INGRESO,Tatuajes,430000,"Samurai, Emanuel, duvan"
7af9347c,22/08/2026,INGRESO,Tatuaje,100000,Gato catalina
1f94e49a,22/08/2026,GASTO,Comida,6500,Dulces
e16e3afa,23/08/2026,GASTO,Comida,3200,Plátano galletas
e4d80e5d,23/08/2026,INGRESO,Tatuaje,140000,Paulaty
99086ac9,23/08/2026,GASTO,Comida,75500,Amor y four loko
c440f59e,23/08/2026,GASTO,Comida,8200,Yogurt pastel
65a55aa4,23/08/2026,INGRESO,Tatuaje,50000,Samu mano
46962216,23/08/2026,INGRESO,Piercing,125000,Microdermal y migraña
6f3339f7,23/08/2026,INGRESO,Tatuaje,500000,Jerónimo antebrazo y mano
db3c6565,23/08/2026,GASTO,Comida,27000,Hamburguesa
674f1bd0,25/08/2026,GASTO,Comida,43200,Carne leche galletas
440c2e22,25/08/2026,GASTO,Negocio,65000,Cremas
902a574c,25/08/2026,GASTO,Moto,32000,Gasolina
02f6c133,25/08/2026,INGRESO,Tatuaje,100000,Esposo leidy
76bff25a,25/08/2026,INGRESO,Tatuaje,150000,Juliana
1bb94268,25/08/2026,INGRESO,Tatuajes,76000,Espalda tribal
5bb57da9,26/08/2026,GASTO,Comida,15000,Pan y cerral
6debaee1,26/08/2026,INGRESO,Piercing,100000,Microdermal
970b39e4,26/08/2026,INGRESO,Tatuaje,250000,Valen
70cf3ff8,26/08/2026,INGRESO,Tatuaje,200000,Mano
1add8e53,26/08/2026,INGRESO,Tatuaje,150000,Vicky y flor
416b4c6c,26/08/2026,GASTO,Comida,59700,Arepa rellena leche etc
62f55474,27/08/2026,INGRESO,Tatuaje,160000,Samara tatuajes
2b76beca,27/08/2026,GASTO,Comida,30000,Panaderia
551e1ec6,28/08/2026,INGRESO,Tatuaje,500000,Juan hombro
6b655b0e,29/08/2026,INGRESO,Tatuaje,200000,Stevan
f67e2e9b,28/08/2026,INGRESO,Piercing,45000,Eche
e999f06e,28/08/2026,INGRESO,Tatuaje,50000,Salome
39790718,28/08/2026,GASTO,Comida,46000,Comida
4d060d21,29/08/2026,INGRESO,Tatuaje,80000,Cuello
4715d183,29/08/2026,GASTO,Comida,30000,Desayuno
e01165ad,29/08/2026,GASTO,Comida,89500,Almuerzo comida amor
8c4ddc96,30/08/2026,GASTO,Comida,40500,Pollo plátano etc
d8d8ecf1,30/08/2026,INGRESO,Tatuaje,470000,Tatuaje cuello y antebrazo
c9f98ce0,31/08/2026,INGRESO,Negocio,115000,Pintura y toallas papel
508efbe7,31/08/2026,INGRESO,Tatuajes,440000,"Gloria, Restrepo, derly"
6b31e899,31/08/2026,GASTO,Casa,117000,Luz y gas
4634c290,31/08/2026,GASTO,Comida,19500,Arepas leche
6a6f7ee8,31/08/2026,INGRESO,Tatuaje,110000,Quintero
b26c4e11,1/09/2026,GASTO,Casa,946800,Arrendo
0e3de623,1/09/2026,INGRESO,Tatuaje,110000,Salomé tatuaje y piercing
d84233e9,1/09/2026,GASTO,Comida,5100,Mecato dulces
ced9b65b,1/09/2026,INGRESO,Tatuaje,500000,Juan hombro
78391404,1/09/2026,GASTO,Comida,23000,Arepa rellena
a593d8c7,1/09/2026,GASTO,Negocio,280000,Cartuchos agujas
015a10bf,2/09/2026,GASTO,Moto,103000,Bombillo y gualla
c0e037a6,2/09/2026,GASTO,Comida,76900,Frisby abuelos
5c217873,2/09/2026,INGRESO,Tatuaje,56000,Torres
20cc3b22,2/09/2026,INGRESO,Tatuaje,400000,Antebrazo HD parejo
a8499912,2/09/2026,GASTO,Comida,39500,Pollo pechuga amor
3eb2192f,3/09/2026,GASTO,Comida,14000,Desayuno
5ded9663,3/09/2026,INGRESO,Tatuaje,406000,Antebrazo juan
d6f20220,3/09/2026,GASTO,Comida,106890,Mercado ara comida amor
8487658b,3/09/2026,GASTO,Salud,250000,Amor
968baae5,3/09/2026,GASTO,Comida,21500,Leche y agua
98960551,4/09/2026,INGRESO,Tatuaje,200000,Segunda sesión samurai
5ac225df,4/09/2026,GASTO,Comida,5100,Dulces
28a05e9f,4/09/2026,INGRESO,Piercing,100000,Microdermal
3841969a,4/09/2026,GASTO,Negocio,32000,Microdemal joya
c663d816,4/09/2026,INGRESO,Tatuaje,300000,Kathe y esposo
fb526a1a,4/09/2026,GASTO,Comida,10000,Dulces amor
437d06f9,4/09/2026,GASTO,Negocio,60122,Gafas filtros
9bbaae8a,4/09/2026,INGRESO,Tatuaje,296000,Cuello y brazos
37a272f0,5/09/2026,GASTO,Comida,15500,Desayunl
6ff9c444,5/09/2026,INGRESO,Tatuaje,480000,Tatuajes
fb3fab20,5/09/2026,GASTO,Comida,62200,Helado y almuerzo
